time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-22 00:00:00+00:00,1.0,1.0,2.0,1.0
2022-09-24 00:00:00+00:00,28.0,6.0,108.0,1.0
2022-09-25 00:00:00+00:00,,,8.0,1.0
2022-09-26 00:00:00+00:00,15.0,3.0,4.0,3.0
2022-09-27 00:00:00+00:00,,,1.0,1.0
2022-09-28 00:00:00+00:00,,,11.0,2.0
2022-09-29 00:00:00+00:00,3.0,1.0,15.0,2.0
2022-09-30 00:00:00+00:00,2.0,2.0,27.0,6.0
2022-10-01 00:00:00+00:00,1.0,1.0,3.0,2.0
2022-10-02 00:00:00+00:00,1.0,1.0,16.0,2.0
2022-10-03 00:00:00+00:00,20.0,2.0,,
2022-10-04 00:00:00+00:00,1.0,1.0,44.0,5.0
2022-10-05 00:00:00+00:00,3.0,3.0,13.0,3.0
