time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-13 00:00:00+00:00,1,1,18,4
2022-07-14 00:00:00+00:00,0,0,16,3
2022-07-15 00:00:00+00:00,0,0,13,4
2022-07-16 00:00:00+00:00,12,5,55,2
2022-07-17 00:00:00+00:00,10,5,52,3
2022-07-18 00:00:00+00:00,11,2,9,3
2022-07-19 00:00:00+00:00,7,4,116,4
2022-07-20 00:00:00+00:00,10,2,58,3
2022-07-21 00:00:00+00:00,0,0,7,3
2022-07-24 00:00:00+00:00,0,0,1,1
2022-07-25 00:00:00+00:00,12,3,11,1
2022-07-26 00:00:00+00:00,2,2,7,2
2022-07-27 00:00:00+00:00,2,2,37,2
2022-07-28 00:00:00+00:00,0,0,3,1
2022-07-29 00:00:00+00:00,0,0,15,1
2022-07-30 00:00:00+00:00,0,0,9,2
2022-07-31 00:00:00+00:00,1,1,0,0
2022-08-01 00:00:00+00:00,12,3,7,3
2022-08-02 00:00:00+00:00,0,0,1,1
2022-08-03 00:00:00+00:00,0,0,21,3
2022-08-04 00:00:00+00:00,6,3,34,3
2022-08-05 00:00:00+00:00,1,1,0,0
2022-08-07 00:00:00+00:00,0,0,4,1
2022-08-08 00:00:00+00:00,15,4,10,3
2022-08-10 00:00:00+00:00,0,0,6,4
2022-08-11 00:00:00+00:00,5,3,18,2
2022-08-12 00:00:00+00:00,77,4,98,3
2022-08-15 00:00:00+00:00,23,2,39,2
2022-08-16 00:00:00+00:00,0,0,17,6
2022-08-17 00:00:00+00:00,1,1,51,4
2022-08-18 00:00:00+00:00,0,0,9,3
2022-08-19 00:00:00+00:00,0,0,31,3
2022-08-20 00:00:00+00:00,0,0,1,1
2022-08-21 00:00:00+00:00,0,0,10,2
2022-08-22 00:00:00+00:00,11,2,13,1
2022-08-23 00:00:00+00:00,0,0,2,2
2022-08-24 00:00:00+00:00,0,0,1,1
2022-08-26 00:00:00+00:00,53,3,84,3
2022-08-27 00:00:00+00:00,136,4,300,4
2022-08-28 00:00:00+00:00,0,0,50,4
2022-08-29 00:00:00+00:00,44,4,63,4
2022-08-30 00:00:00+00:00,22,3,64,3
2022-08-31 00:00:00+00:00,0,0,9,3
2022-09-01 00:00:00+00:00,0,0,5,2
2022-09-02 00:00:00+00:00,1,1,2,1
2022-09-03 00:00:00+00:00,0,0,1,1
2022-09-04 00:00:00+00:00,0,0,3,1
2022-09-05 00:00:00+00:00,12,2,14,2
2022-09-06 00:00:00+00:00,0,0,14,4
2022-09-07 00:00:00+00:00,1,1,6,1
2022-09-08 00:00:00+00:00,0,0,8,3
2022-09-09 00:00:00+00:00,0,0,4,3
2022-09-10 00:00:00+00:00,0,0,6,1
2022-09-11 00:00:00+00:00,0,0,14,1
2022-09-12 00:00:00+00:00,16,2,5,1
2022-09-14 00:00:00+00:00,0,0,2,1
2022-09-15 00:00:00+00:00,0,0,6,2
2022-09-17 00:00:00+00:00,1,1,4,2
