time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-06 00:00:00+00:00,238,68,39,13
2021-05-07 00:00:00+00:00,210,65,73,15
2021-05-08 00:00:00+00:00,124,57,7,6
2021-05-09 00:00:00+00:00,171,58,8,5
2021-05-10 00:00:00+00:00,248,64,50,13
2021-05-11 00:00:00+00:00,325,87,170,15
2021-05-12 00:00:00+00:00,490,135,110,12
2021-05-13 00:00:00+00:00,616,116,137,16
2021-05-14 00:00:00+00:00,540,102,47,15
2021-05-15 00:00:00+00:00,300,75,18,5
2021-05-16 00:00:00+00:00,81,38,10,7
2021-05-17 00:00:00+00:00,557,96,32,13
2021-05-18 00:00:00+00:00,509,109,34,15
2021-05-19 00:00:00+00:00,804,126,22,10
