time_iso8601,stars_cumulative
2020-11-28 00:00:00+00:00,1
2020-12-15 00:00:00+00:00,2
2020-12-16 00:00:00+00:00,6
2020-12-17 00:00:00+00:00,10
2020-12-18 00:00:00+00:00,11
2020-12-23 00:00:00+00:00,12
2021-01-05 00:00:00+00:00,13
2021-01-13 00:00:00+00:00,14
2021-01-25 00:00:00+00:00,15
2021-01-26 00:00:00+00:00,21
2021-01-27 00:00:00+00:00,25
2021-01-28 00:00:00+00:00,27
2021-01-30 00:00:00+00:00,28
2021-01-31 00:00:00+00:00,29
2021-02-02 00:00:00+00:00,30
2021-02-04 00:00:00+00:00,33
2021-02-13 00:00:00+00:00,34
2021-02-17 00:00:00+00:00,35
2021-02-19 00:00:00+00:00,36
2021-02-21 00:00:00+00:00,37
2021-02-24 00:00:00+00:00,38
2021-03-02 00:00:00+00:00,40
2021-03-08 00:00:00+00:00,41
2021-03-16 00:00:00+00:00,42
2021-03-19 00:00:00+00:00,43
2021-03-21 00:00:00+00:00,44
2021-03-25 00:00:00+00:00,45
2021-03-30 00:00:00+00:00,46
2021-04-06 00:00:00+00:00,47
2021-04-10 00:00:00+00:00,48
2021-04-15 00:00:00+00:00,49
2021-04-20 00:00:00+00:00,51
2021-04-22 00:00:00+00:00,53
2021-04-26 00:00:00+00:00,55
2021-04-28 00:00:00+00:00,56
2021-04-30 00:00:00+00:00,58
2021-05-01 00:00:00+00:00,62
2021-05-04 00:00:00+00:00,64
2021-05-12 00:00:00+00:00,65
2021-05-14 00:00:00+00:00,66
2021-05-15 00:00:00+00:00,67
2021-05-17 00:00:00+00:00,68
2021-05-21 00:00:00+00:00,69
2021-05-25 00:00:00+00:00,70
2021-05-28 00:00:00+00:00,71
2021-05-30 00:00:00+00:00,72
