time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-13 00:00:00+00:00,1.0,1.0,11,2
2022-10-14 00:00:00+00:00,1.0,1.0,9,2
2022-10-15 00:00:00+00:00,,,22,3
2022-10-16 00:00:00+00:00,,,1,1
2022-10-17 00:00:00+00:00,17.0,4.0,11,4
2022-10-18 00:00:00+00:00,1.0,1.0,20,4
2022-10-19 00:00:00+00:00,14.0,3.0,51,3
2022-10-20 00:00:00+00:00,,,4,2
2022-10-21 00:00:00+00:00,2.0,2.0,31,4
2022-10-22 00:00:00+00:00,1.0,1.0,5,1
2022-10-23 00:00:00+00:00,,,1,1
2022-10-24 00:00:00+00:00,15.0,3.0,32,7
2022-10-25 00:00:00+00:00,1.0,1.0,5,2
2022-10-26 00:00:00+00:00,,,23,3
