time_iso8601,stars_cumulative
2022-08-10 00:00:00+00:00,1
2022-09-30 00:00:00+00:00,2
2022-10-10 00:00:00+00:00,3
2022-11-08 00:00:00+00:00,4
2022-11-17 00:00:00+00:00,5
2022-12-03 00:00:00+00:00,6
2022-12-05 00:00:00+00:00,7
2022-12-26 00:00:00+00:00,8
2022-12-27 00:00:00+00:00,9
2023-01-15 00:00:00+00:00,10
2023-02-23 00:00:00+00:00,11
2023-02-28 00:00:00+00:00,12
2023-03-02 00:00:00+00:00,13
2023-03-31 00:00:00+00:00,14
2023-04-30 00:00:00+00:00,15
2023-07-08 00:00:00+00:00,16
2023-07-27 00:00:00+00:00,17
2023-10-19 00:00:00+00:00,18
2023-11-02 00:00:00+00:00,19
2023-11-09 00:00:00+00:00,20
2023-12-17 00:00:00+00:00,21
2024-03-28 00:00:00+00:00,22
2024-06-08 00:00:00+00:00,23
2024-06-09 00:00:00+00:00,24
2024-07-19 00:00:00+00:00,25
2024-07-25 00:00:00+00:00,26
2024-09-09 00:00:00+00:00,27
2024-10-08 00:00:00+00:00,28
2025-05-05 00:00:00+00:00,29
2025-07-31 00:00:00+00:00,30
2025-09-09 00:00:00+00:00,31
2025-09-12 00:00:00+00:00,32
