time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-13 00:00:00+00:00,1,1,18,4
2022-07-14 00:00:00+00:00,0,0,16,3
2022-07-15 00:00:00+00:00,0,0,13,4
2022-07-16 00:00:00+00:00,12,5,55,2
2022-07-17 00:00:00+00:00,10,5,52,3
2022-07-18 00:00:00+00:00,11,2,9,3
2022-07-19 00:00:00+00:00,7,4,116,4
2022-07-20 00:00:00+00:00,10,2,58,3
2022-07-21 00:00:00+00:00,0,0,7,3
2022-07-24 00:00:00+00:00,0,0,1,1
2022-07-25 00:00:00+00:00,12,3,11,1
2022-07-26 00:00:00+00:00,2,2,7,2
2022-07-27 00:00:00+00:00,2,2,37,2
2022-07-28 00:00:00+00:00,0,0,3,1
2022-07-29 00:00:00+00:00,0,0,15,1
2022-07-30 00:00:00+00:00,0,0,9,2
2022-07-31 00:00:00+00:00,1,1,0,0
2022-08-01 00:00:00+00:00,12,3,7,3
2022-08-02 00:00:00+00:00,0,0,1,1
2022-08-03 00:00:00+00:00,0,0,21,3
2022-08-04 00:00:00+00:00,6,3,34,3
2022-08-05 00:00:00+00:00,1,1,0,0
2022-08-07 00:00:00+00:00,0,0,4,1
2022-08-08 00:00:00+00:00,15,4,10,3
2022-08-10 00:00:00+00:00,0,0,6,4
2022-08-11 00:00:00+00:00,5,3,18,2
2022-08-12 00:00:00+00:00,77,4,98,3
2022-08-15 00:00:00+00:00,23,2,39,2
2022-08-16 00:00:00+00:00,0,0,17,6
2022-08-17 00:00:00+00:00,1,1,51,4
2022-08-18 00:00:00+00:00,0,0,9,3
2022-08-19 00:00:00+00:00,0,0,31,3
2022-08-20 00:00:00+00:00,0,0,1,1
2022-08-21 00:00:00+00:00,0,0,10,2
2022-08-22 00:00:00+00:00,11,2,13,1
2022-08-23 00:00:00+00:00,0,0,2,2
2022-08-24 00:00:00+00:00,0,0,1,1
2022-08-26 00:00:00+00:00,53,3,84,3
2022-08-27 00:00:00+00:00,136,4,300,4
2022-08-28 00:00:00+00:00,0,0,50,4
2022-08-29 00:00:00+00:00,44,4,63,4
2022-08-30 00:00:00+00:00,22,3,64,3
2022-08-31 00:00:00+00:00,0,0,9,3
2022-09-01 00:00:00+00:00,0,0,5,2
2022-09-02 00:00:00+00:00,1,1,2,1
2022-09-03 00:00:00+00:00,0,0,1,1
2022-09-04 00:00:00+00:00,0,0,3,1
2022-09-05 00:00:00+00:00,12,2,14,2
2022-09-06 00:00:00+00:00,0,0,14,4
2022-09-07 00:00:00+00:00,1,1,6,1
2022-09-08 00:00:00+00:00,0,0,8,3
2022-09-09 00:00:00+00:00,0,0,4,3
2022-09-10 00:00:00+00:00,0,0,6,1
2022-09-11 00:00:00+00:00,0,0,14,1
2022-09-12 00:00:00+00:00,16,2,5,1
2022-09-14 00:00:00+00:00,0,0,2,1
2022-09-15 00:00:00+00:00,0,0,6,2
2022-09-17 00:00:00+00:00,1,1,4,2
2022-09-18 00:00:00+00:00,0,0,3,2
2022-09-19 00:00:00+00:00,14,2,5,3
2022-09-20 00:00:00+00:00,0,0,1,1
2022-09-21 00:00:00+00:00,1,1,1,1
2022-09-22 00:00:00+00:00,1,1,2,1
2022-09-24 00:00:00+00:00,28,6,108,1
2022-09-25 00:00:00+00:00,0,0,8,1
2022-09-26 00:00:00+00:00,15,3,4,3
2022-09-27 00:00:00+00:00,0,0,1,1
2022-09-28 00:00:00+00:00,0,0,11,2
2022-09-29 00:00:00+00:00,3,1,15,2
2022-09-30 00:00:00+00:00,2,2,27,6
2022-10-01 00:00:00+00:00,1,1,3,2
2022-10-02 00:00:00+00:00,1,1,16,2
2022-10-03 00:00:00+00:00,20,2,0,0
2022-10-04 00:00:00+00:00,1,1,44,5
2022-10-05 00:00:00+00:00,3,3,13,3
2022-10-06 00:00:00+00:00,3,3,9,5
2022-10-07 00:00:00+00:00,11,3,79,6
2022-10-08 00:00:00+00:00,55,6,98,1
2022-10-09 00:00:00+00:00,2,1,10,1
2022-10-10 00:00:00+00:00,12,4,21,7
2022-10-11 00:00:00+00:00,2,2,7,3
2022-10-12 00:00:00+00:00,0,0,5,3
2022-10-13 00:00:00+00:00,1,1,11,2
2022-10-14 00:00:00+00:00,1,1,9,2
2022-10-15 00:00:00+00:00,0,0,22,3
2022-10-16 00:00:00+00:00,0,0,1,1
2022-10-17 00:00:00+00:00,17,4,11,4
2022-10-18 00:00:00+00:00,1,1,20,4
2022-10-19 00:00:00+00:00,14,3,51,3
2022-10-20 00:00:00+00:00,0,0,4,2
2022-10-21 00:00:00+00:00,2,2,31,4
2022-10-22 00:00:00+00:00,1,1,5,1
