time_iso8601,forks_cumulative
2021-11-11 00:00:00+00:00,1
2022-02-23 00:00:00+00:00,2
2022-03-10 00:00:00+00:00,3
2022-07-12 00:00:00+00:00,4
2022-10-19 00:00:00+00:00,5
2022-11-04 00:00:00+00:00,6
2022-12-12 00:00:00+00:00,7
2022-12-30 00:00:00+00:00,8
2023-01-20 00:00:00+00:00,9
2023-01-24 00:00:00+00:00,10
2023-03-08 00:00:00+00:00,11
2023-04-13 00:00:00+00:00,12
2023-05-24 00:00:00+00:00,14
2023-06-28 00:00:00+00:00,15
2023-07-19 00:00:00+00:00,16
2023-08-19 00:00:00+00:00,17
2023-09-12 00:00:00+00:00,18
2024-02-13 00:00:00+00:00,19
2024-08-05 00:00:00+00:00,20
2024-09-18 00:00:00+00:00,21
2024-10-19 00:00:00+00:00,22
2024-10-21 00:00:00+00:00,23
2025-02-27 00:00:00+00:00,24
2025-02-28 00:00:00+00:00,25
2025-04-05 00:00:00+00:00,26
