time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-23 00:00:00+00:00,,,1,1
2025-02-24 00:00:00+00:00,100.0,1.0,15,4
2025-02-25 00:00:00+00:00,5.0,5.0,6,3
2025-02-26 00:00:00+00:00,3.0,2.0,3,1
2025-02-27 00:00:00+00:00,1.0,1.0,7,3
2025-02-28 00:00:00+00:00,14.0,4.0,17,3
2025-03-01 00:00:00+00:00,1.0,1.0,3,2
2025-03-02 00:00:00+00:00,192.0,4.0,4,2
2025-03-03 00:00:00+00:00,120.0,3.0,3,3
2025-03-04 00:00:00+00:00,107.0,30.0,15,3
2025-03-05 00:00:00+00:00,124.0,82.0,22,5
2025-03-06 00:00:00+00:00,251.0,121.0,17,5
2025-03-07 00:00:00+00:00,232.0,113.0,83,6
2025-03-08 00:00:00+00:00,203.0,122.0,4,4
