time_iso8601,stars_cumulative
2022-02-16 00:00:00+00:00,1
2022-03-05 00:00:00+00:00,2
2022-04-05 00:00:00+00:00,3
2022-04-30 00:00:00+00:00,4
2022-05-11 00:00:00+00:00,5
2022-05-13 00:00:00+00:00,6
2022-06-06 00:00:00+00:00,7
2022-06-22 00:00:00+00:00,8
2022-06-25 00:00:00+00:00,9
2022-07-04 00:00:00+00:00,10
2022-07-05 00:00:00+00:00,11
2022-07-13 00:00:00+00:00,12
2022-08-22 00:00:00+00:00,14
2022-10-07 00:00:00+00:00,15
2022-10-08 00:00:00+00:00,16
2022-10-16 00:00:00+00:00,17
2022-10-19 00:00:00+00:00,18
2022-10-28 00:00:00+00:00,19
